time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),dew_point_2m (°C)
2025-04-01 0:00,17,95,4.8,0.5,4.4,16.9,16.1
2025-04-01 1:00,16.6,95,4.2,7.2,16.7,19.8,15.8
2025-04-01 2:00,16,97,5.8,9.7,18.8,18.7,15.5
2025-04-01 3:00,15.8,97,3.9,5.2,14.9,19.8,15.2
2025-04-01 4:00,15.4,97,2.2,5.6,13.8,10.4,14.9
2025-04-01 5:00,15.1,97,2.4,10.8,22.2,19.4,14.6
2025-04-01 6:00,11.4,89,1.4,25.5,40.4,49.3,9.7
2025-04-01 7:00,9.1,87,0.1,18,31,49.3,7
2025-04-01 8:00,7.6,76,0,17.2,29.1,39.2,3.5
2025-04-01 9:00,6.6,68,0,14.4,23.4,33.8,1.2
2025-04-01 10:00,5.1,63,0,18,28.8,38.2,-1.5
2025-04-01 11:00,4,64,0,18.4,30.5,39.2,-2.2
2025-04-01 12:00,4.2,62,0,16.2,25.5,38.2,-2.5
2025-04-01 13:00,5.5,60,0,19.5,29.3,42.8,-1.6
2025-04-01 14:00,6.4,56,0,20.4,30.3,45.7,-1.6
2025-04-01 15:00,7.5,53,0,18.9,27.7,46.1,-1.5
2025-04-01 16:00,8.6,48,0,17.7,25.8,43.6,-1.7
2025-04-01 17:00,9.6,45,0,17.4,25.1,42.5,-1.6
2025-04-01 18:00,10.6,41,0,17.7,25.7,42.1,-2
2025-04-01 19:00,11.1,40,0,17.1,24.8,42.1,-2.2
2025-04-01 20:00,11.2,38,0,16.1,23.5,40,-2.5
2025-04-01 21:00,11,37,0,15.4,22.8,37.4,-3.2
2025-04-01 22:00,10.2,39,0,13.8,21.4,34.6,-3.2
2025-04-01 23:00,8.8,45,0,10.4,20.4,28.8,-2.5
2025-04-02 0:00,7.1,51,0,9.4,21.4,21.2,-2.5
2025-04-02 1:00,6.9,52,0,9.3,21.9,15.8,-2.2
2025-04-02 2:00,5.8,50,0,11.2,25,20.9,-3.9
2025-04-02 3:00,5,50,0,12.4,26.5,23.8,-4.7
2025-04-02 4:00,4,50,0,10.7,23.9,24.5,-5.6
2025-04-02 5:00,3,53,0,10.5,23.4,20.9,-5.7
2025-04-02 6:00,2.1,54,0,9.5,21.7,20.5,-6.2
2025-04-02 7:00,1.3,57,0,8.9,21,18.4,-6.3
2025-04-02 8:00,0.9,58,0,9.3,21.4,17.6,-6.3
2025-04-02 9:00,0.8,60,0,9.2,20.8,18,-6.2
2025-04-02 10:00,0.4,60,0,9.5,21.1,18,-6.4
2025-04-02 11:00,0.2,59,0,9.8,20.8,19.1,-6.8
2025-04-02 12:00,1.2,56,0,10.6,18.6,22.3,-6.5
2025-04-02 13:00,3.9,48,0,11.8,17.7,27.4,-6.2
2025-04-02 14:00,5.3,47,0,12.9,18.6,31,-5.1
2025-04-02 15:00,6.7,46,0,13.2,19,33.1,-4
2025-04-02 16:00,7.6,47,0,15.4,22.1,37.4,-3
2025-04-02 17:00,8.1,51,0,16.5,23.8,39.6,-1.4
2025-04-02 18:00,8.6,55,0,15.2,22.1,41.4,0.1
2025-04-02 19:00,8.4,56,0,16.5,23.9,38.2,0.2
2025-04-02 20:00,7.4,61,0,18.4,27.2,41.4,0.3
2025-04-02 21:00,6.9,63,0,17.3,26.5,41,0.4
2025-04-02 22:00,6.3,69,0,17.2,27.1,37.4,1
2025-04-02 23:00,6.2,73,0,15.3,25.7,41,1.8
2025-04-03 0:00,5.9,79,0,12.7,22.6,32,2.6
2025-04-03 1:00,5.8,81,0,10.3,17.1,28.4,2.8
2025-04-03 2:00,5.8,85,0,9.1,16,21.2,3.3
2025-04-03 3:00,5.9,87,0,6,10.7,18.7,3.9
2025-04-03 4:00,6.2,89,0,7.9,21.4,14,4.4
2025-04-03 5:00,6.7,89,0,11.1,23.3,18,5
2025-04-03 6:00,7.6,84,0,7.7,17.4,21.2,4.9
2025-04-03 7:00,7.9,85,0,5.7,12.7,14.8,5.5
2025-04-03 8:00,8.4,86,0,7,15.7,13.3,6.2
2025-04-03 9:00,9.3,86,0,8.2,19.8,15.8,7.1
2025-04-03 10:00,10.9,87,0,10.6,23.8,19.1,8.8
2025-04-03 11:00,12.7,87,0,14.8,29.7,28.4,10.6
2025-04-03 12:00,14.2,85,0,17.6,33.1,35.3,11.9
2025-04-03 13:00,11.1,95,1.6,10.1,22.3,34.2,10.4
2025-04-03 14:00,11.4,97,1.1,8.7,21.5,36.4,10.9
2025-04-03 15:00,14.7,93,0.2,17.2,30.7,31.7,13.6
2025-04-03 16:00,17.7,88,0,23.5,39,49.3,15.7
2025-04-03 17:00,18,90,0.1,19.2,33.5,48.6,16.3
2025-04-03 18:00,20.1,83,0,24.7,38.7,54.7,17.1
2025-04-03 19:00,21.8,79,0.1,22.4,36.7,52.9,17.9
2025-04-03 20:00,21.2,81,0,19.6,34.8,51.5,17.9
2025-04-03 21:00,22.6,76,0,23.4,38.8,50.8,18
2025-04-03 22:00,22,77,0,20.4,35.5,49.3,17.8
2025-04-03 23:00,22.1,76,0,20.8,37.4,43.6,17.7
2025-04-04 0:00,21.9,76,0,21,38.2,43.2,17.5
2025-04-04 1:00,22.4,74,0,21.9,39.9,46.4,17.5
2025-04-04 2:00,21.9,75,0,19.8,37.2,45,17.2
2025-04-04 3:00,21.5,78,0,19.9,37,41,17.5
2025-04-04 4:00,21,81,0,18.5,34.7,40.3,17.6
2025-04-04 5:00,20.5,83,0,15.5,30.1,37.1,17.6
2025-04-04 6:00,19.9,87,0.1,13.7,27,30.6,17.6
2025-04-04 7:00,18.9,90,0.2,10.3,22.2,27,17.2
2025-04-04 8:00,17.3,96,0.9,10,22.9,25.9,16.6
2025-04-04 9:00,16.5,97,1.3,8.5,19.4,21.6,15.9
2025-04-04 10:00,15.9,96,2.4,10.5,22.1,28.1,15.3
2025-04-04 11:00,14.7,90,2.1,10.8,19.5,29.9,13
2025-04-04 12:00,13.9,88,0.1,9.4,16.4,19.4,12
2025-04-04 13:00,16.4,86,0.1,3,4.6,10.1,14.1
2025-04-04 14:00,18.1,76,0,6.5,9.2,16.9,13.8
2025-04-04 15:00,18.5,59,0,13.3,19.5,28.8,10.4
2025-04-04 16:00,18.6,47,0,12.2,17.9,32.8,7.2
2025-04-04 17:00,19.1,45,0,12.6,18.4,29.5,6.8
2025-04-04 18:00,19.8,42,0,12.6,18.1,30.2,6.4
2025-04-04 19:00,19.8,39,0,13.3,19.5,31.3,5.4
2025-04-04 20:00,19.5,40,0,11.5,16.9,31.3,5.4
2025-04-04 21:00,19.3,41,0,9.9,15.4,26.3,5.7
2025-04-04 22:00,18.6,47,0,7.4,14.6,21.6,7
2025-04-04 23:00,16.7,55,0,7.2,17.6,15.5,7.5
2025-04-05 0:00,15.2,54,0,9,22.9,17.6,6
2025-04-05 1:00,14.2,62,0,5,14.6,12.6,7.1
2025-04-05 2:00,13.6,58,0,7.4,20.5,13,5.6
2025-04-05 3:00,13.4,58,0,6.3,18.9,14.8,5.3
2025-04-05 4:00,13.1,58,0,8.1,20.4,14.8,5.2
2025-04-05 5:00,12.6,62,0,9.4,21.6,18,5.5
2025-04-05 6:00,12.1,61,0,9.7,22,19.4,4.8
2025-04-05 7:00,10.9,65,0,9.1,22.2,19.1,4.5
2025-04-05 8:00,10.9,64,0,10.3,23.2,20.5,4.4
2025-04-05 9:00,10.2,66,0,10.7,23.9,20.5,4.1
2025-04-05 10:00,10.2,65,0,15.5,29.9,30.6,3.9
2025-04-05 11:00,9.6,68,0,17.8,32.1,35.6,4
2025-04-05 12:00,9.3,71,0,16.2,30.2,38.5,4.3
2025-04-05 13:00,9.9,75,0,14.6,24.9,31.7,5.6
2025-04-05 14:00,9.8,74,0,16.6,27.4,35.3,5.4
2025-04-05 15:00,9.7,76,0,17.7,28.5,38.2,5.6
2025-04-05 16:00,9.7,78,0.8,15.7,23.6,37.8,6.1
2025-04-05 17:00,9.3,81,0.3,19.3,30.7,41.8,6.2
2025-04-05 18:00,9.8,76,0,17.6,27.6,41,5.8
2025-04-05 19:00,9.8,77,0,16.5,25.7,38.2,5.9
2025-04-05 20:00,9.4,80,0,12.6,19.4,36.4,6.1
2025-04-05 21:00,8.9,82,0,12.6,19.6,28.1,6
2025-04-05 22:00,8.4,87,0.2,11.4,20,27.7,6.3
2025-04-05 23:00,8.5,88,0.1,8.6,15.9,23.4,6.7
2025-04-06 0:00,8.5,91,0.1,7.8,14.2,18.4,7.1
2025-04-06 1:00,7.3,93,0,9.6,16.4,20.5,6.3
2025-04-06 2:00,6.8,95,0,8.7,16.2,19.8,5.9
2025-04-06 3:00,6.6,95,0,8.7,16.2,16.9,5.9
2025-04-06 4:00,6.8,94,0,6.9,12.2,16.9,5.9
2025-04-06 5:00,6.8,97,1.6,8.3,14.5,18,6.2
2025-04-06 6:00,6.9,96,0.4,4.3,5.9,15.5,6.4
2025-04-06 7:00,6.9,96,0.1,7.6,10.6,15.8,6.4
2025-04-06 8:00,7.1,97,0,4.1,4.8,15.1,6.6
2025-04-06 9:00,7.3,97,0,3.2,4.8,9.4,6.9
2025-04-06 10:00,7.5,98,0,2.2,1.8,7.9,7.2
2025-04-06 11:00,7.7,98,0,6.4,8.7,12.2,7.4
2025-04-06 12:00,8.7,95,0,7.5,12.8,15.5,8
2025-04-06 13:00,8.4,93,0.1,2.8,9.7,11.9,7.4
2025-04-06 14:00,10.1,88,0,7.8,12.7,18.7,8.2
2025-04-06 15:00,11.1,85,0.3,15.1,23.3,29.9,8.6
2025-04-06 16:00,11.4,84,0.3,11.4,17.1,30.2,8.8
2025-04-06 17:00,13.6,73,0.1,4.8,6.7,26.3,8.8
2025-04-06 18:00,13.9,68,0,8.3,12.1,18.7,8.1
2025-04-06 19:00,14.9,57,0,11.4,16.1,27.4,6.3
2025-04-06 20:00,14.2,56,0,12.3,17.6,29.5,5.7
2025-04-06 21:00,13.8,57,0,8.6,12.6,28.1,5.4
2025-04-06 22:00,13.1,58,0,9.5,13.9,20.9,5.1
2025-04-06 23:00,11.9,63,0,8.4,16.7,21.6,5.1
2025-04-07 0:00,10.6,67,0,5.4,15.5,16.6,4.8
2025-04-07 1:00,10.6,65,0,7,17,14.4,4.3
2025-04-07 2:00,10.5,64,0,4.7,13.1,13.3,3.9
2025-04-07 3:00,9.8,61,0,9.3,19,18.4,2.7
2025-04-07 4:00,9.3,59,0,6.5,15.5,19.1,1.8
2025-04-07 5:00,8.8,58,0,7.6,16,14.8,1
2025-04-07 6:00,8,60,0.4,7.9,14.1,15.8,0.8
2025-04-07 7:00,6.7,75,0.6,11,18.7,19.4,2.5
2025-04-07 8:00,5.8,84,0.6,11.2,20,22.3,3.2
2025-04-07 9:00,5.1,93,0.7,11.3,21.4,22,4
2025-04-07 10:00,4.9,89,0.3,10.9,19.6,21.6,3.3
2025-04-07 11:00,4.9,89,0.2,10.6,18.9,20.5,3.3
2025-04-07 12:00,5.1,94,0.7,10.8,19.5,20.2,4.2
2025-04-07 13:00,4.7,90,0.6,11.9,19.4,22.7,3.2
2025-04-07 14:00,4.9,87,0.5,9.6,14.3,24.8,2.9
2025-04-07 15:00,4.9,89,0.9,13.5,19.6,26.3,3.2
2025-04-07 16:00,5.4,87,0.7,10.2,14.5,26.6,3.5
2025-04-07 17:00,5.5,93,0.9,9.1,12.9,21.6,4.4
2025-04-07 18:00,5.8,89,0.7,10.4,14.9,23.4,4.1
2025-04-07 19:00,6.5,86,0.4,8.6,12.1,22.3,4.3
2025-04-07 20:00,7,84,0.2,8.9,12.6,20.5,4.4
2025-04-07 21:00,6.9,84,0.4,7.3,10.3,20.5,4.4
2025-04-07 22:00,6.7,86,0.1,6.8,10.1,16.2,4.6
2025-04-07 23:00,6.6,86,0,4.2,6.6,14.8,4.5
2025-04-08 0:00,6.2,91,0,5.8,9.4,12.2,4.8
2025-04-08 1:00,5.6,93,0,6.8,10.9,14.4,4.6
2025-04-08 2:00,5.4,93,0,3.2,5.3,13.7,4.4
2025-04-08 3:00,5.3,94,0,2.3,3.4,7.9,4.4
2025-04-08 4:00,5.2,94,0,1.2,1.9,6.1,4.4
2025-04-08 5:00,5.4,93,0,2.3,3,5.8,4.3
2025-04-08 6:00,5.4,94,0,4.6,7.7,8.3,4.5
2025-04-08 7:00,5.4,95,0,7.3,14.5,13,4.7
2025-04-08 8:00,5.3,94,0,8.3,16,16.2,4.4
2025-04-08 9:00,5.4,90,0,11.9,21.1,23.4,3.9
2025-04-08 10:00,5.2,88,0,12.8,22.9,24.8,3.3
2025-04-08 11:00,3.2,72,0,19.2,32.9,40,-1.4
2025-04-08 12:00,1.5,55,0,19.6,30.8,42.1,-6.4
2025-04-08 13:00,3.3,51,0,21.8,33.4,48.2,-6
2025-04-08 14:00,3.7,45,0,24.9,37.6,54.7,-7.2
2025-04-08 15:00,4.9,35,0,28.2,42.4,59.8,-9.4
2025-04-08 16:00,5.7,35,0,29.9,44.7,65.2,-8.8
2025-04-08 17:00,6.1,33,0,30.2,44.8,65.5,-9.1
2025-04-08 18:00,6.7,33,0,30.7,45.8,66.2,-8.5
2025-04-08 19:00,6.7,33,0,31,47.2,67,-8.4
2025-04-08 20:00,6.3,36,0,30.5,46.9,68.8,-7.8
2025-04-08 21:00,5.9,37,0,29.5,45.1,67,-7.8
2025-04-08 22:00,4.8,38,0,26.1,40.8,62.3,-8.2
2025-04-08 23:00,4.2,41,0,19.7,33.6,59.4,-8
2025-04-09 0:00,3,43,0,16.5,30.4,41,-8.4
2025-04-09 1:00,3,47,0,10,21.9,29.2,-7.2
2025-04-09 2:00,2,48,0,12.1,24.8,23.4,-7.8
2025-04-09 3:00,1.5,44,0,14.9,28.7,30.2,-9.4
2025-04-09 4:00,0.9,45,0,15.2,28.9,31.3,-9.8
2025-04-09 5:00,0.3,47,0,15.1,28.6,31.3,-9.6
2025-04-09 6:00,-0.2,50,0,15.2,28.4,31.3,-9.4
2025-04-09 7:00,-0.8,53,0,14.4,27.9,31.3,-9.2
2025-04-09 8:00,-1.2,56,0,14.5,27.9,29.5,-8.9
2025-04-09 9:00,-1.8,59,0,12.5,25.3,29.2,-8.7
2025-04-09 10:00,-2.3,62,0,11.2,23.7,24.8,-8.6
2025-04-09 11:00,-2.5,65,0,9.4,20.3,21.6,-8.1
2025-04-09 12:00,-1.1,63,0,8.1,15.2,18.7,-7.3
2025-04-09 13:00,1.2,46,0,13.5,20.1,31.7,-9.2
2025-04-09 14:00,2.5,42,0,12.1,17.6,32.4,-9.1
2025-04-09 15:00,3.8,41,0,10.9,15.4,30.6,-8.4
2025-04-09 16:00,5.2,38,0,10.7,15.1,29.5,-8
2025-04-09 17:00,6.2,36,0,10.6,14.5,29.5,-7.6
2025-04-09 18:00,7.1,35,0,11.2,15.7,30.2,-7.2
2025-04-09 19:00,7.6,34,0,10.5,14.6,30.2,-7.2
2025-04-09 20:00,8,33,0,11.5,16.3,29.2,-7.3
2025-04-09 21:00,8.2,33,0,11.2,16,29.2,-7
2025-04-09 22:00,8.1,35,0,11.6,17.3,26.6,-6.6
2025-04-09 23:00,6.5,49,0,5.1,12.7,25.6,-3.4
2025-04-10 0:00,5.2,54,0,8.2,14.4,13,-3.5
2025-04-10 1:00,4.7,56,0,6.6,17.2,14,-3.3
2025-04-10 2:00,3.8,62,0,5.2,15.5,11.5,-2.7
2025-04-10 3:00,3.1,65,0,6,15.4,10.4,-2.8
2025-04-10 4:00,2.5,68,0,6.3,18.8,11.5,-3
2025-04-10 5:00,2.3,65,0,8.9,22,15.8,-3.6
2025-04-10 6:00,1.8,72,0,6.8,18.7,15.8,-2.8
2025-04-10 7:00,1.2,79,0,5.4,16.4,11.9,-2
2025-04-10 8:00,1.7,80,0,2,10.2,9.4,-1.3
2025-04-10 9:00,1.6,81,0,1.4,8.2,2.9,-1.2
2025-04-10 10:00,0.6,84,0,1.9,2.3,2.9,-1.9
2025-04-10 11:00,0.9,85,0,4.8,8.9,7.9,-1.4
2025-04-10 12:00,3.2,81,0,6.3,12.6,13.3,0.2
2025-04-10 13:00,6.4,69,0,7.5,11.4,19.8,1.2
2025-04-10 14:00,8.4,65,0,7.6,11,21.2,2.1
2025-04-10 15:00,9.7,56,0,12,17.2,28.1,1.4
2025-04-10 16:00,10.9,50,0,14.5,20.7,34.9,0.9
2025-04-10 17:00,10.9,45,0,16.4,23.8,38.2,-0.4
2025-04-10 18:00,9.9,45,0,18.3,27.1,41,-1.4
2025-04-10 19:00,8.6,48,0,17.7,26.9,41.4,-1.9
2025-04-10 20:00,7.7,47,0,15.3,23.8,38.2,-2.8
2025-04-10 21:00,7.1,49,0,14.1,22,32.4,-3
2025-04-10 22:00,6,59,0,12.5,20.3,29.9,-1.5
2025-04-10 23:00,5.4,67,0.1,12.3,22.8,26.6,-0.2
2025-04-11 0:00,5,72,0.2,13.5,24.4,27,0.4
2025-04-11 1:00,5.1,74,0.1,10,18.9,23,0.9
2025-04-11 2:00,5,76,0,10.2,19.4,20.2,1.2
2025-04-11 3:00,4.8,79,0,11,20.3,22,1.5
2025-04-11 4:00,4.8,78,0,11.1,20.5,23.8,1.2
2025-04-11 5:00,4.8,79,0,9.1,17.5,22,1.5
2025-04-11 6:00,4.9,82,0,9.6,18.4,19.4,2
2025-04-11 7:00,5.1,83,0,10.1,19.5,20.9,2.3
2025-04-11 8:00,5.2,84,0,10.3,19.7,21.6,2.7
2025-04-11 9:00,5.2,88,0.1,10.3,19.6,20.9,3.3
2025-04-11 10:00,5.3,89,0,10.4,19.9,20.9,3.7
2025-04-11 11:00,5.5,89,0,11.7,21.5,23.4,3.9
2025-04-11 12:00,6,87,0,13.3,21.5,27,4
2025-04-11 13:00,5.7,89,0.2,10.8,17.4,23.4,4
2025-04-11 14:00,5.9,89,0.6,12.3,19.4,24.1,4.2
2025-04-11 15:00,6.3,86,0.3,17.8,26.6,36,4.2
2025-04-11 16:00,7.4,81,0.2,19.1,28.8,40.3,4.4
2025-04-11 17:00,7.2,83,0.6,17.3,26.1,40.3,4.4
2025-04-11 18:00,7.1,87,1.1,17.4,27.1,37.4,5.2
2025-04-11 19:00,7.3,88,0.8,16,25.1,33.5,5.5
2025-04-11 20:00,7.3,90,0.8,16.7,25.4,34.9,5.8
2025-04-11 21:00,7.4,90,0.5,13.7,21.1,32,5.9
2025-04-11 22:00,7.1,95,0.5,12.3,21.6,27,6.3
2025-04-11 23:00,6.7,96,0.8,12.9,23.5,24.8,6.1
2025-04-12 0:00,6.3,96,1.2,14.9,27,28.4,5.8
2025-04-12 1:00,5.6,95,1.8,17.7,31.4,34.2,4.8
2025-04-12 2:00,5,94,1.7,18.3,33,35.3,4.1
2025-04-12 3:00,4.9,94,2,18.6,33.2,35.3,4.1
2025-04-12 4:00,4.9,95,2.4,19.7,35,37.8,4.2
2025-04-12 5:00,4.6,98,1.7,18.1,31.6,37.8,4.3
2025-04-12 6:00,4,98,2.9,18.6,27.8,39.2,3.7
2025-04-12 7:00,2.3,100,2.9,11.9,30.2,36,2.3
2025-04-12 8:00,1.8,100,1.7,16.1,51.8,28.4,1.8
2025-04-12 9:00,1.5,100,1.5,31.6,65.2,43.9,1.5
2025-04-12 10:00,2.5,91,0.4,25.6,43.4,55.4,1.1
2025-04-12 11:00,2.3,93,0.6,22.1,38.6,49,1.4
2025-04-12 12:00,2.5,91,0.3,21.5,36.2,42.8,1.2
2025-04-12 13:00,2.8,91,0.1,19.4,32.6,40.7,1.4
2025-04-12 14:00,3,91,0.2,17.8,30.2,37.8,1.5
2025-04-12 15:00,3.5,88,0.3,19.6,31.2,38.2,1.7
2025-04-12 16:00,3.8,87,0.1,20,30.8,40,1.8
2025-04-12 17:00,4.4,82,0.1,19.4,29.3,42.8,1.6
2025-04-12 18:00,4.3,82,0.1,16.9,25.7,40.3,1.5
2025-04-12 19:00,4.4,81,0.1,16.3,25.3,36,1.5
2025-04-12 20:00,4.5,80,0.1,17.7,28,38.5,1.4
2025-04-12 21:00,4.2,83,0.1,14.9,25.5,37.4,1.5
2025-04-12 22:00,4.4,82,0.2,16.4,28.3,33.5,1.6
2025-04-12 23:00,4.2,84,0.3,17.6,30.6,34.9,1.8
2025-04-13 0:00,3.8,89,0.8,18,31.5,34.9,2.2
2025-04-13 1:00,3.8,87,0.2,12.8,23.4,26.6,1.9
2025-04-13 2:00,3.8,88,0.1,12.4,22.6,24.8,2
2025-04-13 3:00,3.8,88,0.1,11.9,21.8,24.1,2
2025-04-13 4:00,3.8,88,0.1,9.9,18.3,23,2
2025-04-13 5:00,3.7,88,0,11.1,19.9,21.6,1.9
2025-04-13 6:00,3.5,89,0,11.7,21.1,23.4,1.9
2025-04-13 7:00,3.6,87,0,12.4,22.5,24.8,1.7
2025-04-13 8:00,3.8,86,0,11.9,22.2,25.2,1.6
2025-04-13 9:00,4.1,84,0,11,21.2,23.8,1.6
2025-04-13 10:00,4.4,83,0,8.9,18.1,22,1.8
2025-04-13 11:00,4.7,84,0,10.5,20.1,20.9,2.1
2025-04-13 12:00,5.1,82,0,11.3,20.4,23.8,2.3
2025-04-13 13:00,6.7,80,0,10.6,17.3,28.8,3.5
2025-04-13 14:00,9.1,66,0,20,29.6,43.9,3
2025-04-13 15:00,10.1,62,0,19.6,28.9,43.6,3.2
2025-04-13 16:00,11.2,58,0,20.4,30.1,45,3.2
2025-04-13 17:00,12.2,53,0,20.9,31.3,45.7,3
2025-04-13 18:00,13.6,49,0,20.6,31,46.1,3.2
2025-04-13 19:00,14.4,47,0,19.1,29.5,44.6,3.2
2025-04-13 20:00,14.6,46,0,19.8,31.6,45.7,3.2
2025-04-13 21:00,14.2,50,0,16.5,28.2,41.4,3.9
2025-04-13 22:00,13.7,51,0,15.8,27.5,36,3.7
2025-04-13 23:00,12.6,54,0,13.5,25.8,33.1,3.5
2025-04-14 0:00,10.9,59,0,10.7,24.4,27.4,3
2025-04-14 1:00,10.3,65,0,10,23.8,18.4,4
2025-04-14 2:00,9.2,66,0,11.3,26.1,21.2,3.2
2025-04-14 3:00,8.4,65,0,12.2,28.2,23,2.2
2025-04-14 4:00,7.7,66,0,9.8,25.2,23,1.8
2025-04-14 5:00,6.9,68,0,9.2,23.8,18.4,1.4
2025-04-14 6:00,6.3,69,0,8.2,22.9,16.9,1.1
2025-04-14 7:00,5.6,72,0,6.6,19.5,14.4,0.9
2025-04-14 8:00,5,74,0,7.8,18.9,14,0.8
2025-04-14 9:00,4.4,76,0,7.7,19.4,14,0.6
2025-04-14 10:00,3.9,78,0,6.7,17.7,13.7,0.5
2025-04-14 11:00,4.1,79,0,6.3,16.7,11.9,0.8
2025-04-14 12:00,6.1,77,0,5.4,13.7,12.6,2.4
2025-04-14 13:00,8.5,72,0,2.6,10.4,12.6,3.7
2025-04-14 14:00,9.8,70,0,3.1,5.4,10.4,4.6
2025-04-14 15:00,11.1,66,0,4.1,6.1,12.2,4.9
2025-04-14 16:00,11.8,63,0,6.1,9.1,15.8,5
2025-04-14 17:00,14.2,53,0,4.6,6.8,17.6,4.8
2025-04-14 18:00,15.8,50,0,5.1,7.2,16.6,5.4
2025-04-14 19:00,15.6,50,0,5.9,8.9,16.9,5.3
2025-04-14 20:00,16.9,47,0,6.9,10.1,18.4,5.7
2025-04-14 21:00,17.1,48,0,7.8,12.1,18.7,6.2
2025-04-14 22:00,17.2,55,0,4.5,9.2,18.4,8.1
2025-04-14 23:00,16,65,0,2.6,7.9,9.4,9.4
2025-04-15 0:00,13.2,70,0,3.3,6.4,4.3,7.9
2025-04-15 1:00,12.4,72,0,4.3,12.4,7.9,7.4
2025-04-15 2:00,12.6,71,0,5.9,16.3,9.7,7.4
2025-04-15 3:00,12.4,70,0,7.4,20.5,13.7,7
2025-04-15 4:00,11.9,74,2.6,10.1,22.5,17.6,7.3
2025-04-15 5:00,11.1,83,2.8,5.4,15.8,15.5,8.2
2025-04-15 6:00,10.9,87,2,11.2,22.8,18.4,8.8
2025-04-15 7:00,9.9,89,0,5.8,16.7,18.4,8.2
2025-04-15 8:00,10.2,91,0,10.1,18.6,13.7,8.8
2025-04-15 9:00,9.9,94,0,11.2,21.4,15.8,8.9
2025-04-15 10:00,10,96,0,10.6,23.6,18.4,9.4
2025-04-15 11:00,10.4,98,0,10.3,23.3,18.4,10.1
2025-04-15 12:00,12.1,96,0,12.6,24.3,22.3,11.4
2025-04-15 13:00,13.4,92,0,10.8,20.9,19.8,12.1
2025-04-15 14:00,15.8,86,0,10.1,18.4,22,13.4
2025-04-15 15:00,15.8,72,0,13.9,24.7,29.2,10.8
2025-04-15 16:00,16.8,60,0,14,23,29.2,8.9
2025-04-15 17:00,16.5,60,0,12.8,23.7,29.2,8.7
2025-04-15 18:00,18.8,41,0,23.9,36.7,50,5.2
2025-04-15 19:00,18,38,0,27.9,43.3,60.1,3.5
2025-04-15 20:00,16,38,0,32.7,51.5,72.7,1.6
2025-04-15 21:00,15.4,40,0,24.7,38.9,67.3,2
2025-04-15 22:00,14.9,38,0,22.2,37,54.7,0.9
2025-04-15 23:00,13.2,41,0,24.5,42.2,50.4,0.2
2025-04-16 0:00,10.9,50,0,24.2,42.6,52.6,0.9
2025-04-16 1:00,10.6,53,0,21.7,38.5,51.8,1.5
2025-04-16 2:00,9.6,53,0,23.7,41.1,49.3,0.6
2025-04-16 3:00,8.2,53,0,22.6,39.4,50,-0.8
2025-04-16 4:00,7.3,56,0,21.4,37.4,48.6,-1
2025-04-16 5:00,6.4,60,0,17.3,29.3,44.6,-0.8
2025-04-16 6:00,5.9,62,0,18,31.3,36.7,-0.8
2025-04-16 7:00,5.7,64,0,17.2,31.1,38.2,-0.6
2025-04-16 8:00,5.4,66,0,17.7,31.9,36,-0.5
2025-04-16 9:00,5.1,68,0,17,31.2,36.7,-0.4
2025-04-16 10:00,4.8,68,0,17.5,31.6,35.3,-0.6
2025-04-16 11:00,5.1,66,0,18.3,31.9,38.2,-0.6
2025-04-16 12:00,5.9,62,0,22.7,36.9,42.8,-0.8
2025-04-16 13:00,7.4,55,0,24.5,38.3,52.9,-1
2025-04-16 14:00,7.8,52,0,25.9,39.2,56.9,-1.4
2025-04-16 15:00,8.4,48,0,26.4,39.8,55.8,-2
2025-04-16 16:00,8.9,46,0,27.8,41.9,58.3,-2
2025-04-16 17:00,9.6,45,0,27.9,42.2,60.8,-1.6
2025-04-16 18:00,10.1,45,0,28.3,43.1,60.5,-1.2
2025-04-16 19:00,10.2,46,0,28.1,43.1,61.6,-0.9
2025-04-16 20:00,10.1,46,0,27.6,42.9,61.2,-1
2025-04-16 21:00,9.8,45,0,27.6,41.9,61.9,-1.5
2025-04-16 22:00,9.4,48,0,23,37.2,60.5,-1.2
2025-04-16 23:00,8.8,50,0,19.1,32.9,48.2,-1
2025-04-17 0:00,7.9,52,0,16.3,29.6,39.6,-1.3
2025-04-17 1:00,7,55,0,14.5,27.9,34.2,-1.5
2025-04-17 2:00,6.3,58,0,14.1,27.3,29.9,-1.4
2025-04-17 3:00,5.8,60,0,13.4,26.5,28.8,-1.5
2025-04-17 4:00,5.6,60,0,14,27.5,29.5,-1.6
2025-04-17 5:00,5.1,63,0,11.7,23.3,28.4,-1.5
2025-04-17 6:00,4.7,65,0,11.5,23,23.8,-1.4
2025-04-17 7:00,4.2,68,0,10.2,21.7,23,-1.2
2025-04-17 8:00,3.3,73,0,8.3,19.8,20.5,-1
2025-04-17 9:00,2.8,76,0,9.5,21.5,17.6,-1
2025-04-17 10:00,2.5,77,0,10.1,22.7,19.1,-1
2025-04-17 11:00,2.7,78,0,10.4,22.1,19.8,-0.9
2025-04-17 12:00,4.5,74,0,9.3,19.3,20.2,0.2
2025-04-17 13:00,7.8,55,0,13.6,20.2,31,-0.6
